id,name,pure_name,internal_id,nickname,official_url,resplendent_url,resplendent_costume,resplendent_date,skills,skill_rarity,sex,release_date,thumb,english_name,epithet,english_epithet,description,origin,how_to_get,type,weapon_type,move_type,illustrator,cv,special_type,duo_skill,is_distributed,resplendent,rarity,rarity3,strength,weekness,recommend,hp_5,atk_5,spd_5,def_5,res_5,hp_5_lv1,atk_5_lv1,spd_5_lv1,def_5_lv1,res_5_lv1,style
1,"ウェンディ","|ウェンディ|","","",https://guide.fire-emblem-heroes.com/05002005000034-2/,"","",,"|重騎士の重槍|キラーランス+|長盾|引き込み|重刃の鼓舞|","|鉄の槍:3|鋼の槍:3|キラーランス:3|キラーランス+:5|重騎士の重槍:5|小盾:3|長盾:4|引き込み:3|攻撃の鼓舞1:3|攻撃の鼓舞2:3|重刃の鼓舞:4|","女",2017-02-02,Gwendolyn.png,Gwendolyn,"可憐な重騎士","Adorable Knight","オスティアの重騎士。まっすぐで意志の強い性格。 鎧のせいで大柄に見られがちなことを気にしている。 （登場:『ファイアーエムブレム　封印の剣』）","封印の剣","ガチャ","青","槍","重装","|政尾翼|","|行成とあ|","","",true,,"星4|星3","星4|星3","","","",49,30,24,38,28,23,8,5,12,6,""
2,"シーマ","|シーマ|","","",https://guide.fire-emblem-heroes.com/01008001000053-2/,https://fehpass.fire-emblem-heroes.com/ja/00008001000053/,"エンブラ",2023-10-25,"|紅姫の斧|キラーアクス+|長盾|スヴェルの盾|重盾の鼓舞|","|鉄の斧:3|鋼の斧:3|キラーアクス:3|キラーアクス+:5|紅姫の斧:5|小盾:3|長盾:4|スヴェルの盾:4|守備の鼓舞1:3|守備の鼓舞2:3|重盾の鼓舞:4|","女",2017-02-02,Sheena.png,Sheena,"グラの王女","Princess of Gra","グラ王国の王女。民の期待を背負い王位につくが、 滅びゆく国に対し、民を思うがゆえの苦悩を抱く。 (登場:『ファイアーエムブレム 紋章の謎』)","紋章の謎","ガチャ","緑","斧","重装","|まよ|ダイエクスト|","|小林ゆう|","","","",true,"星4|星3","星4|星3","","","",45,30,25,36,33,21,8,6,12,7,""
3,"ドーガ","|ドーガ|","","",https://guide.fire-emblem-heroes.com/01001008000022/,"","",,"|忠臣の剣|勇者の剣+|大盾|切り込み|重盾の紋章|","|鉄の剣:3|鋼の剣:3|勇者の剣:3|勇者の剣+:5|忠臣の剣:5|小盾:3|大盾:4|切り込み:3|守備の紋章1:3|守備の紋章2:3|重盾の紋章:4|","男",2017-02-02,Draug.png,Draug,"アリティア重騎士","Gentle Giant","アリティア王国の重騎士。実直な性格。 マルス王子を守る盾として活躍した。 (登場:『ファイアーエムブレム 紋章の謎』)","紋章の謎","ガチャ","赤","剣","重装","|板垣ハコ|","|竹内良太|","","","",,"星4|星3","星4|星3","","","",50,30,32,39,18,24,8,6,13,3,""
4,"エルフィ","|エルフィ|","","",https://guide.fire-emblem-heroes.com/11005014000035-2/,https://fehpass.fire-emblem-heroes.com/ja/00005014000035/,"ヨトゥン",2022-06-10,"|エルフィの大槍|銀の槍+|ぶちかまし|鬼神の一撃3|守備隊形3|","|鉄の槍:3|鋼の槍:3|銀の槍:3|銀の槍+:5|エルフィの大槍:5|ぶちかまし:3|鬼神の一撃1:3|鬼神の一撃2:4|鬼神の一撃3:5|守備隊形1:3|守備隊形2:3|守備隊形3:4|","女",2017-02-02,Effie.png,Effie,"怪力の重騎士","Army of One","暗夜王国重騎士。エリーゼの臣下で親友。 仲間想いで優しい性格。怪力でもある。 (登場:『ファイアーエムブレム　if』)",if,"ガチャ","青","槍","重装","|HACCAN|麻谷知世|","|桑原由気|","","",pay,true,"星4|星3","星4|星3","","","",50,40,22,33,23,22,12,5,11,4,""
5,"チキ(子供)","|チキ|","","",https://guide.fire-emblem-heroes.com/01010001000094-2/,https://fehpass.fire-emblem-heroes.com/ja/00010001000094/,"エンブラ",2021-01-25,"|霧のブレス|灼熱のブレス+|爆火|金剛の一撃3|生の息吹3|","|火のブレス:5|火炎のブレス:5|灼熱のブレス:5|灼熱のブレス+:5|霧のブレス:5|砕火:5|爆火:5|金剛の一撃1:5|金剛の一撃2:5|金剛の一撃3:5|生の息吹1:5|生の息吹2:5|生の息吹3:5|","女",2017-02-02,Tiki-Young.png,Tiki,"神竜族の王女","Dragon Scion","神竜族の王女。竜としての暴走を抑えるため、 永い眠りについていた。人との関わりを求めている。 （登場:『ファイアーエムブレム　紋章の謎』）","紋章の謎","ガチャ","赤","赤竜","歩行","|いとうのいぢ|みわべさくら|","|諸星すみれ|",,"",pay,true,"星5","星5","","","",41,31,30,32,29,15,5,4,8,7,""
6,"ドニ","|ドニ|","","|ドニキ|",https://guide.fire-emblem-heroes.com/10002002000030-2/,https://fehpass.fire-emblem-heroes.com/ja/00002002000030/,"ヨトゥン",2025-11-25,"|ドニの朴槍|勇者の槍+|相互援助|HP3|引き込み|","|鉄の槍:3|鋼の槍:3|勇者の槍:3|勇者の槍+:5|ドニの朴槍:5|相互援助:3|HP1:3|HP2:3|HP3:4|引き込み:3|","男",2017-02-02,Donnel.png,Donnel,"村人","Village Hero","イーリス聖王国の村人。畑仕事が得意。訛りのある、独特な話し方をする。(登場:『ファイアーエムブレム　覚醒』)","覚醒","ガチャ","青","槍","歩行","|岡谷|TAPI岡|","|市来光弘|",,"",true,true,"星4|星3","星4|星3","","","",43,35,29,32,23,17,7,5,6,4,""
7,"ファ","|ファ|","","",https://guide.fire-emblem-heroes.com/05010002000098/,https://fehpass.fire-emblem-heroes.com/ja/00010002000098/,"ムスペル",2022-09-25,"|悠久のブレス|光のブレス+|引き寄せ|回復3|攻撃の威嚇3|","|火のブレス:3|火炎のブレス:3|光のブレス:3|光のブレス+:5|悠久のブレス:5|引き寄せ:3|回復1:3|回復2:3|回復3:4|攻撃の威嚇1:3|攻撃の威嚇2:4|攻撃の威嚇3:5|","女",2017-02-02,Fae.png,Fae,"神とよばれし竜","Divine Dragon","神竜の生き残りの少女。竜に姿を変えることができる。 人生経験が少なく、心もまだ幼い。 （登場:『ファイアーエムブレム　封印の剣』）","封印の剣","ガチャ","緑","緑竜","歩行","|日向悠二|さとうぽて|","|小澤亜李|","","",pay,true,"星4|星3","星4|星3","","","",46,33,28,25,30,16,5,4,6,8,""
8,"アンナ","|アンナ|","","",https://guide.fire-emblem-heroes.com/00001003000001-2/,"","",,"|ノーアトゥーン|流星|待ち伏せ3|魔防の紋章3|","|鉄の斧:2|鋼の斧:2|銀の斧:3|ノーアトゥーン:5|星影:2|流星:4|待ち伏せ1:3|待ち伏せ2:4|待ち伏せ3:5|魔防の紋章1:2|魔防の紋章2:2|魔防の紋章3:4|","女",2017-02-02,Anna.png,Anna,"特務機関の隊長",Commander,"特務機関所属の戦士。アルフォンスたちの上官。 経験豊富な頼れる人物。","ヒーローズ","特務機関","緑","斧","歩行","|コザキユースケ|","|世戸さおり|","","",true,,"星4","星4","","","",41,29,38,22,28,19,7,10,5,6,""
9,"カチュア","|カチュア|","","",https://guide.fire-emblem-heroes.com/01004005000041-2/,https://fehpass.fire-emblem-heroes.com/ja/00004005000041/,"スヴァルトアルフ",2024-09-25,"|白騎の直槍|キラーランス+|月光|金剛の一撃3|攻撃封じ3|","|鉄の槍:3|鋼の槍:3|キラーランス:3|キラーランス+:5|白騎の直槍:5|影月:3|月光:4|金剛の一撃1:3|金剛の一撃2:3|金剛の一撃3:4|攻撃封じ1:3|攻撃封じ2:4|攻撃封じ3:5|","女",2017-02-02,Catria.png,Catria,"白騎の次姉","Middle Whitewing","マケドニア王国のペガサス三姉妹の次女。真面目で一途な性格。(登場:『ファイアーエムブレム　紋章の謎』)","紋章の謎","ガチャ","青","槍","飛行","|アマガイタロー|あっか|","|生天目仁美|",,"","",true,"星4|星3","星4|星3","","","",39,31,34,29,25,17,7,10,7,6,""
10,"カミラ","|カミラ|","","","",https://fehpass.fire-emblem-heroes.com/ja/00005005000061/,"スヴァルトアルフ",2024-05-25,"|カミラの艶斧|勇者の斧+|竜裂|飛燕の一撃3|死の吐息3|","|鉄の斧:3|鋼の斧:3|勇者の斧:3|勇者の斧+:5|カミラの艶斧:5|伏竜:3|竜裂:4|飛燕の一撃1:3|飛燕の一撃2:4|飛燕の一撃3:5|死の吐息1:3|死の吐息2:3|死の吐息3:4|","女",2017-02-02,Camilla.png,Camilla,"妖艶な花","Bewitching Beauty","暗夜王国の王女。カムイを溺愛している。優しく穏やかな性格だが、敵に対しては冷酷。(登場:『ファイアーエムブレム　if』)",if,"ガチャ","緑","斧","飛行","|前嶋重機|ごましおポン酢|","|沢城みゆき|",,"","",true,"星4|星3","星4|星3","","","",37,30,32,28,31,18,8,8,6,7,""
11,"カムイ(男)","|カムイ男|","","",https://guide.fire-emblem-heroes.com/11001001000015-2/,https://fehpass.fire-emblem-heroes.com/ja/00001001000015/,"アスク",2022-07-25,"|夜刀神|竜穿|守備3|進軍阻止3|","|鉄の剣:4|鋼の剣:4|銀の剣:4|夜刀神:5|伏竜:4|竜穿:4|守備1:4|守備2:4|守備3:4|進軍阻止1:4|進軍阻止2:4|進軍阻止3:5|","男",2017-02-02,Corrin-M.png,Corrin,"未来を選びし王子","Fateful Prince","白夜王国で生まれ、暗夜王国で育った王子。 神器【夜刀神】の使い手。自らの進む道を選び戦う。 (登場:『ファイアーエムブレム　if』)",if,"ガチャ","赤","剣","歩行","|まいぽんぽん|とよた瑣織|","|島﨑信長|","","","",true,"星4|星3","星4|星3","","","",42,32,32,28,24,20,8,8,6,5,""
12,"シャニー","|シャニー|","","",https://guide.fire-emblem-heroes.com/05007006000043-2/,https://fehpass.fire-emblem-heroes.com/ja/00007006000043/,"エンブラ",2021-10-10,"|シャニーの誓槍|キラーランス+|氷蒼|攻め立て3|速さの威嚇3|","|鉄の槍:3|鋼の槍:3|キラーランス:3|キラーランス+:5|シャニーの誓槍:5|氷点:3|氷蒼:4|攻め立て1:3|攻め立て2:3|攻め立て3:4|速さの威嚇1:3|速さの威嚇2:4|速さの威嚇3:5|","女",2017-02-02,Shanna.png,Shanna,"朗らかな天馬騎士","Sprightly Flier","イリア天馬騎士団の見習い。 いつも元気で前向き、周囲を明るくする存在。 (登場:『ファイアーエムブレム　封印の剣』)","封印の剣","ガチャ","青","槍","飛行","|羽公|みわべさくら|","|白城なお|","","",pay,true,"星4|星3","星4|星3","","","",39,30,35,25,29,17,8,9,6,7,""
13,"シャロン","|シャロン|","","",https://guide.fire-emblem-heroes.com/00001002000033-2/,"","",,"|フェンサリル|攻撃の応援|速さ3|守備の鼓舞3|","|鉄の槍:2|鋼の槍:2|銀の槍:3|フェンサリル:5|攻撃の応援:2|速さ1:2|速さ2:2|速さ3:4|守備の鼓舞1:3|守備の鼓舞2:4|守備の鼓舞3:5|","女",2017-02-02,Sharena.png,Sharena,"アスク王国の王女","Princess of Askr","アスク王国の王女。アルフォンスの妹。 明るく人懐っこい性格で、英雄とも仲が良い。","ヒーローズ","特務機関","青","槍","歩行","|コザキユースケ|","|内田真礼|","","",true,,"星4","星4","","","",43,32,32,29,22,19,8,8,7,5,""
14,"バーツ","|バーツ|","","",https://guide.fire-emblem-heroes.com/01002005000048-2/,"","",,"|デビルアクス|勇者の斧+|引き戻し|叩き込み|攻撃の紋章3|","|鉄の斧:3|鋼の斧:3|勇者の斧:3|勇者の斧+:5|デビルアクス:5|引き戻し:3|叩き込み:3|攻撃の紋章1:3|攻撃の紋章2:3|攻撃の紋章3:4|","男",2017-02-02,Barst.png,Barst,"タリスの義勇兵","The Hatchet","タリスの戦士。オグマの部下。 木こりや海賊など、さまざまな過去を持つ。 (登場:『ファイアーエムブレム 紋章の謎』 )","紋章の謎","ガチャ","緑","斧","歩行","|ワダサチコ|","|濱野大輝|","","",true,,"星4|星3","星4|星3","","","",46,33,32,30,17,20,9,8,6,4,""
